SubjID,SmlSeq,SmlK,SmlCons,SmlICR,MedSeq,MedK,MedCons,MedICR,LrgSeq,LrgK,LrgCons,LrgICR,GMK
s0125,473,0.001583251,0.888888889,0.444444444,363,0.001572609,0.666666667,0.444444444,310,0.00280644,0.555555556,0.444444444,0.001911798411855048
s0126,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,385,0.064947206,1,0.777777778,0.034728018370228174
s0127,69,0.246753247,0.777777778,0.777777778,97,0.049346897,0.777777778,0.777777778,17,0.248847926,0.888888889,0.888888889,0.144705681699685
s0128,449,0.025565085,1,0.666666667,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.02552782085037716
s0129,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s0130,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0131,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.001570816287617923
s0132,512,1.58128e-4,1,0,512,1.58278e-4,1,0,512,1.58278e-4,1,0,1.5822798419668516e-4
s0133,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,481,0.00978133,1,0.555555556,0.02523448665940745
s0134,505,0.001583251,1,0.333333333,509,6.3193e-4,1,0.222222222,505,0.001599001,1,0.333333333,0.0011695599640162246
s0135,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s0136,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0137,481,0.009704041,1,0.555555556,497,0.003905918,1,0.444444444,497,0.003897476,1,0.444444444,0.005286315321377051
s0138,385,0.065125822,1,0.777777778,193,0.025225065,0.888888889,0.777777778,449,0.025796554,1,0.666666667,0.03486441659740516
s0139,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0140,77,0.246753247,0.666666667,0.666666667,3,0.25,0.888888889,0.888888889,192,1.58278e-4,0.777777778,0.222222222,0.021373442619437504
s0141,505,0.001583251,1,0.333333333,505,0.001588988,1,0.333333333,509,6.32011e-4,1,0.222222222,0.0011671634396006377
s0142,257,0.159084963,1,0.888888889,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.0639373165087494
s0143,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.03486441659740516
s0144,385,0.065125822,1,0.777777778,449,0.025225065,1,0.666666667,449,0.025796554,1,0.666666667,0.03486441659740516
s0145,509,6.32542e-4,1,0.222222222,511,2.51282e-4,1,0.111111111,511,2.51015e-4,1,0.111111111,3.4170406135018374e-4
s0146,497,0.003859499,1,0.444444444,497,0.003905918,1,0.444444444,497,0.003897476,1,0.444444444,0.0038875784671527835
s0147,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,481,0.00978133,1,0.555555556,0.03436168922038743
s0148,449,0.025565085,1,0.666666667,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.01345472877351011
s0149,511,2.51196e-4,1,0.111111111,511,2.51282e-4,1,0.111111111,512,1.58278e-4,1,0,2.1537645173330515e-4
s0150,385,0.065125822,1,0.777777778,385,0.063690167,1,0.777777778,449,0.025796554,1,0.666666667,0.04747472235673704
s0151,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.009741894186056553
s0152,497,0.003859499,1,0.444444444,505,0.001588988,1,0.333333333,497,0.003897476,1,0.444444444,0.002880569335890433
s0153,385,0.065125822,1,0.777777778,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.018375687917671205
s0154,481,0.009704041,1,0.555555556,497,0.003905918,1,0.444444444,505,0.001599001,1,0.333333333,0.003928030276290973
s0155,481,0.009704041,1,0.555555556,481,0.009740465,1,0.555555556,481,0.00978133,1,0.555555556,0.009741894186056553
s0156,497,0.003859499,1,0.444444444,506,0.001588988,0.888888889,0.222222222,505,0.001599001,1,0.333333333,0.0021404253958474664
s0157,509,6.32542e-4,1,0.222222222,509,6.3193e-4,1,0.222222222,493,6.32011e-4,0.888888889,0.333333333,6.321609417394587e-4
s0158,257,0.159084963,1,0.888888889,129,0.126184554,0.888888889,0.888888889,449,0.025796554,1,0.666666667,0.08030310557794014
