,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,gamma,eta
112,17.0,24.0,21.0,14.0,32.0,12.0,21.0,20.0,-5.216722128476244,8.04603736943687,2.618044699897667,1.7348298669272442,0.01289913975902495,0.00251603775286145,5.823188326018655,0.8775817046824985,1.33796044755193
113,14.0,15.0,14.0,14.0,24.0,10.0,15.0,19.0,-7.982002278723731,9.687342792185774,2.3627476888026986,0.024674563389234017,0.0051024018451444,0.009788894544420251,7.057343151726815,0.797573213631015,1.33278701762869
114,13.0,15.0,23.0,18.0,29.0,11.0,18.0,24.0,-6.44376970469036,5.38906826284129,1.617975101691881,1.1170396530384887,0.0144055959215102,0.0011670249306193,5.47725652971573,0.8458996962015655,0.7308065452166486
115,19.0,17.0,23.0,10.0,29.0,16.0,22.0,23.0,-7.060536879768903,6.421258443597077,2.377393420194976,4.086379142124409,0.041428764804250146,0.0008710057906020001,5.478373623314875,0.8053188770852211,0.7664212999598374
116,22.0,22.0,22.0,17.0,24.0,12.0,21.0,24.0,-4.293090879350648,3.019675138309018,1.1838012640835114,0.4470957381898746,0.0104094193291149,0.00032871957973185,4.723128160559581,0.918765628493621,0.4318187793801725
117,15.0,16.0,11.0,18.0,14.0,13.0,18.0,25.0,-7.3683349133543485,9.69097796546339,1.9862454628775434,0.984418046014004,0.0064887472568864995,0.00461814233705965,7.145413957252285,0.880948775277234,1.4398559931647799
118,14.0,18.0,14.0,11.0,38.0,12.0,21.0,16.0,-3.356288551637029,5.919006186751346,2.4416716448522333,1.3540632326774233,0.011458610966740201,0.0009450567605027,4.5031779448323555,0.8942493545868275,3.3822730642212897
119,27.0,19.0,20.0,17.0,27.0,13.0,23.0,25.0,-4.30842465305103,7.358449477836448,2.3579139260870563,4.529399665149696,0.0227104451339231,0.00185149647502155,5.118101737932941,0.8316550083633295,1.1728480078771701
120,17.0,20.0,12.0,13.0,16.0,16.0,19.0,23.0,-6.456159866318824,7.115035206179674,1.6717824101018857,-0.8070763215806434,0.0012849256709982,0.0013192455149515,5.97237119261143,0.8822405386618279,1.019499395945096
121,28.0,24.0,36.0,15.0,41.0,18.0,27.0,28.0,-7.3683349133543485,10.290630536613303,2.8777211275153176,1.8195201562669832,0.0079695652169309,0.00581865986032465,5.46679139793189,0.7758190417176805,2.6870620693783502
