id,sess,block,auc,std_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,ready_RT_mean,ready_RT_se,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0087,1,1,8.322374686008493,4.116163937880916,11.115461538461538,7.313833333333334,6.210775944444443,9.767940000000001,3.0641311132668485,7.313833333333334,4.260236093692792,3.3481223896984416,1.009382352941176,0.4037383553921988,0.7795000000000001,1.3170799999999998,0.1771692452769385,LP
s0087,1,2,11.305281605113635,2.5969430911983786,10.517066666666668,11.323529411764705,11.35575,12.0,3.7807826432572864,11.323529411764705,2.1367355211864667,0.0,0.3063281249999972,0.043627742429736216,0.91,1.2201186440677962,0.11976617812641513,HP
s0088,1,1,4.63152787952788,1.4868839314268303,5.466231372549019,5.542453333333334,4.0261913580246915,3.910814814814815,1.6326068452547375,5.542453333333334,0.8486306728711036,0.5875188436402473,0.13047933884297497,0.010360499473679218,0.67,0.753177419354839,0.02020183695959129,LP
s0088,1,2,10.859293150913835,2.1799074025636016,9.087159855769231,11.3585,11.48975,12.0,2.8990745323149736,11.3585,0.8837789245620198,0.0,0.17604477611939778,0.01710174801532548,0.69,0.7794067796610169,0.02138213510399101,HP
s0090,1,1,2.6318214270966314,0.7161453323451177,3.0383130434782615,2.2804646464646465,2.7990937500000004,2.5319166666666666,1.1826304532525378,2.2804646464646465,0.41304961057271417,0.4229188177285198,0.3234761904761928,0.014128884320579497,0.6915,0.7565806451612908,0.03340189440180127,LP
s0090,1,2,7.244115574700425,4.961066847214766,3.435812073863637,6.481167613636363,12.0,11.323588235294118,3.299188409075149,6.481167613636363,0.0,2.70564705882353,0.3661034482758623,0.030023323097899346,0.708,0.7841458333333332,0.024540623025052864,HP
s0091,1,1,4.647200468227426,2.020002691252222,5.140673796791445,5.1308125,4.994645061728394,3.326509090909091,2.481350702884171,5.1308125,1.7833755534826552,1.0112901997444521,0.5471171171171149,0.04189580479398766,0.7040000000000001,0.9178813559322032,0.06434320271898662,LP
s0091,1,2,4.3699045549205735,1.5832495225688314,5.759390977443609,4.535782541322314,3.795279411764706,3.673595588235294,2.1668358825424416,4.535782541322314,1.019448219346655,1.00010696601777,0.44239000000000644,0.02526440933408149,0.7170000000000001,0.7842962962962964,0.035827502246003985,HP
s0092,1,1,6.9303654177909495,1.7669059386460364,8.8864375,6.541545454545455,6.434364583333333,6.2981,1.647437453368235,6.541545454545455,1.8603662504541931,1.347096763413824,0.4041649484536137,0.019138017714904157,0.737,0.8355166666666665,0.031668951598851046,LP
s0092,1,2,7.573875604056549,3.065343970861102,7.2683947368421045,9.878333333333334,7.033155555555556,6.492705882352941,4.247082052211603,9.878333333333334,2.379289155801282,2.312632063953847,0.5106233766233852,0.022495268811328357,0.7015,0.6786521739130433,0.024124504116303937,HP
s0093,1,1,7.086729367406787,1.6073146973662586,7.219735714285715,8.388374999999998,6.938750000000001,5.828166666666667,1.3374700509902708,8.388374999999998,1.0576972333801389,1.91844963591843,0.28945000000000154,0.022360990027277438,0.7040000000000001,0.9452089552238806,0.06812005551675582,LP
s0093,1,2,9.839111915610484,2.52717256600778,6.876005898989899,10.6352,11.455,10.918375,2.3419066710534815,10.6352,1.218657047737385,1.4205695105748963,0.318704225352111,0.01913659431462163,0.7040000000000001,0.8135178571428573,0.061604725579240384,HP
s0094,1,1,10.344138014527847,2.4403745401487495,11.026642857142857,11.2292,9.96747222222222,8.6375,1.6073662844694045,11.2292,2.9534495715096636,2.121133325213984,0.20903703703704268,0.02003211447291346,0.8640000000000001,0.8621451612903225,0.02328409852021684,LP
s0094,1,2,9.819185537633158,3.2833333266372295,9.94581361607143,9.840906828703705,8.863586666666667,11.342666666666666,2.6728494185038087,9.840906828703705,4.203518228320441,1.4698420172098612,0.23326086956521438,0.023404147222093448,0.8690000000000001,0.9021320754716979,0.034304782634429834,HP
s0095,1,1,10.29900435185185,3.301709758209677,7.924558823529413,11.8348,12.0,10.59946153846154,4.11771076957014,11.8348,0.0,3.012495939745354,0.5280434782608737,0.0661249523204327,0.722,0.8680677966101694,0.05240206999912786,LP
s0095,1,2,10.9478322851153,3.0618808459586844,12.0,10.466566666666667,12.0,9.81153846153846,0.0,10.466566666666667,0.0,3.9959448986611537,2.5648867924528354,1.4519045352209188,0.725,0.9349166666666667,0.09074206439770593,HP
s0096,1,1,5.118248381370091,1.0426591849696751,4.957789215686274,5.742272727272727,5.609,4.540571022727272,1.0605026415001504,5.742272727272727,1.21452377498343,0.7404527431525496,0.16069827586207128,0.00869508604773182,0.708,0.7556716417910448,0.01426917797180189,LP
s0096,1,2,6.478496482468442,1.4954248917671344,4.891157894736842,6.665989795918367,7.461712890625,7.645333333333334,0.6708579516836589,6.665989795918367,1.678438177710556,0.45398629445783456,0.13025882352941315,0.011049271881833272,0.698,0.7571052631578946,0.028430305254934556,HP
s0097,1,1,6.177128013257577,3.1707751266896365,6.696114285714286,5.854791666666667,5.239600666666668,7.071098758971292,3.589667933479789,5.854791666666667,2.6564487773214998,3.6322532441639543,1.7240952380952443,1.0262401802153296,0.7165,0.7580652173913044,0.023637571462894278,LP
s0097,1,2,8.151629835066391,3.4624747172267147,6.793730094596762,8.24793181818182,7.469937130407719,9.89414699074074,3.3154236761807625,8.24793181818182,3.847325973662637,3.055388677829171,0.9083000000000012,0.1320560399749953,0.72,0.7045750000000001,0.0232662815975179,HP
s0098,1,1,5.015178929684693,2.1233789009206787,8.617,4.220398214285715,4.260142857142857,4.299857142857144,2.7284303179667244,4.220398214285715,0.4201176179656955,0.32060252586627697,0.2044862385321047,0.035396280327195793,0.87,0.9127540983606561,0.037903827832171985,LP
s0098,1,2,5.096733329702415,1.4235560113137098,4.652871794871794,4.5164,5.2895769230769245,6.047130637440161,1.1712786544274945,4.5164,1.292033732980592,1.8322714205378117,1.572666666666665,0.5270134895501937,0.7929999999999999,0.8227142857142857,0.05312064765227439,HP
s0100,1,1,5.354062001085019,1.7738749200004182,7.134340277777778,4.484017857142858,5.09525,4.791664772727273,2.5955309860390443,4.484017857142858,0.8664835663954242,0.9063947289498819,0.1956548672566431,0.0276679509437013,0.7210000000000001,0.8351142857142856,0.03736446277838342,LP
s0100,1,2,8.689579720113851,2.054390655783188,6.705045918367347,9.882,9.534375,9.100226562500001,1.5353217049489734,9.882,0.8914522240189507,2.3770256828875316,0.19949999999999887,0.02232152860250963,0.7340000000000001,0.8087647058823529,0.021244002491461075,HP
s0101,1,1,6.786430884904571,1.560293107074142,6.4421875,5.687333333333334,7.983222222222222,6.97775,1.5581629094365423,5.687333333333334,1.5314488258420005,1.1325740097229853,0.2843465346534671,0.014829504761724434,0.67,0.7377142857142857,0.028530742005615527,LP
s0101,1,2,7.523379936848022,1.5284749215305038,7.292414529914531,8.370527777777777,7.545000000000001,6.747416666666667,1.2849761659145156,8.370527777777777,0.8113639310269026,1.3388230190689465,0.329118421052631,0.023570097663041543,0.6779999999999999,0.767813953488372,0.04875243201836947,HP
s0103,1,1,6.409062587092164,2.1068692034561103,5.380535688920454,5.802946050824176,8.040899999999999,6.530374999999999,1.7567161125653614,5.802946050824176,1.6245635383080586,1.7525753862173807,0.11772897196261456,0.009193008790372924,0.7240000000000001,0.8235238095238097,0.027452791492250567,LP
