id,sess,key,block,auc,std_wtw,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,auc3,std_wtw1,std_wtw2,std_wtw3
s1194,2,"('s1194', 2)",2,10.952207714285715,2.5105977256645304,8.176,0.549,0.552984126984127,0.014215727897617625,HP,10.656021739130434,11.482357142857143,10.531636363636366,2.6233216165531883,1.8663878638062517,2.9103928006597712
s1195,2,"('s1195', 2)",1,5.918840909090909,1.8447085153238345,7.849,0.463,0.49913043478260877,0.025297589557216074,LP,5.520227272727273,5.835013636363636,6.51778,2.009938588655208,1.5878878122712272,1.6439156177452254
s1195,2,"('s1195', 2)",2,8.707219615403654,2.7323642561201074,4.407,0.5005,0.5368076923076924,0.018343775818738087,HP,7.429269543597544,9.14185,9.541771929824563,2.799714262410847,1.9470549369496493,2.7398979717048615
s1197,2,"('s1197', 2)",1,9.738394385026737,1.8286676524810364,12.0,0.512,0.7703898305084748,0.06516101206411586,LP,8.882615384615384,9.712785714285715,10.6051,2.111292886378156,1.6825178317276859,1.0849501785796436
s1197,2,"('s1197', 2)",2,10.923368892867476,1.6715213027036004,9.579,0.5595000000000001,0.8171964285714284,0.10105324615491428,HP,10.08814117647059,11.527833333333334,11.021250000000002,2.011969612406131,1.5659996718461417,0.38235021577083006
s1198,2,"('s1198', 2)",1,8.437354700854701,2.2510260704651555,8.621,0.4425,0.5685806451612901,0.10004423461916426,LP,8.433535714285714,8.8682,8.145027777777777,2.085082312218031,2.604127024551606,2.073999611407216
s1198,2,"('s1198', 2)",2,11.162219712885154,1.295375143969307,9.883,0.463,0.4739016393442622,0.01607117173996414,HP,10.46753846153846,11.280380000000001,11.658999999999999,1.5825670293440541,1.1805678445561691,0.3410000000000002
s1199,2,"('s1199', 2)",1,12.0,0.0,12.0,0.3915,0.40946774193548374,0.011314713693397021,LP,12.0,12.0,12.0,0.0,0.0,0.0
s1199,2,"('s1199', 2)",2,11.4526875,0.7143080321848201,12.0,0.399,0.42182258064516126,0.014311160882440492,HP,12.0,11.443333333333332,10.447000000000001,0.0,0.5224068231645608,0.4120000000000004
s1201,2,"('s1201', 2)",1,4.321952180827102,2.2581209316140636,8.913,0.898,1.033044776119403,0.08435857187665757,LP,4.980341818181818,5.079580341880342,3.0369794871794875,1.8589556866377477,2.882144321455647,1.1353477971345811
s1201,2,"('s1201', 2)",2,4.742102461873639,1.23724606918378,3.404,0.994,1.2149999999999999,0.19381001590636385,HP,5.1037470238095235,4.506672456575682,4.916454545454545,1.3714943465252296,1.9569352842163914,1.0500317323028743
s1203,2,"('s1203', 2)",1,6.112375396825397,2.5001370894853108,11.822,0.3705,0.3759000000000001,0.006489808336530283,LP,8.953222222222221,5.0843,5.048647058823529,1.0770555311978816,1.2173647536105738,2.866413560350624
s1203,2,"('s1203', 2)",2,7.989651226359339,1.2367420433062895,8.518,0.399,0.43493023255813956,0.02093448006898219,HP,8.350365384615385,7.736607142857143,7.785857142857143,1.324564558766479,0.7841405367518959,1.3840126600157607
s1204,2,"('s1204', 2)",1,4.142108366429192,2.0781960031808127,7.788,0.319,0.3327846153846154,0.0118088020988396,LP,5.178193181818182,3.384110906862745,4.148896381578948,2.0563380757396703,0.9798988908819259,2.732421619963361
s1204,2,"('s1204', 2)",2,10.814627353121264,2.38256166245413,7.5,0.3555,0.37084999999999996,0.00969237458005003,HP,8.914277199074075,12.0,12.0,2.8788764810169156,0.0,0.0
s1205,2,"('s1205', 2)",1,3.9262436561023524,0.7848368667347145,5.834,0.5425,0.5686212121212119,0.014317689027138094,LP,4.489661644562334,3.5401904761904763,3.64,1.0342330491713925,0.20250352590642753,0.24608888461374034
s1205,2,"('s1205', 2)",2,6.616834889511359,1.3336312184642345,5.739,0.6025,0.6911428571428571,0.04602989479427064,HP,7.065800000000002,7.648296703296704,5.228882352941177,1.2167009631311263,0.7859632781526859,0.2702932791384293
s1206,2,"('s1206', 2)",1,4.914375906368223,1.5763985702335024,5.871,0.5465,0.5641470588235294,0.018047961677722428,LP,5.064039682539683,4.8666440159167434,4.92968,1.885291659474056,1.1821678857109414,2.023085283549258
s1206,2,"('s1206', 2)",2,5.280870838612606,1.1593743732667439,4.901,0.5805,0.6902222222222223,0.09821297649350964,HP,5.077987388658611,5.528574404761905,5.276858695652175,1.0487889651543127,1.3424742661139606,1.060155730624937
s1207,2,"('s1207', 2)",1,5.5090454253863275,1.6952199986468985,3.925,0.336,0.3477536231884058,0.008410528548371415,LP,5.976765924551639,5.167943666711538,5.344263157894738,1.9537109093722087,1.8688873016582204,0.8290765652162877
s1207,2,"('s1207', 2)",2,7.343866771159875,1.2212077234266978,3.622,0.331,0.3522,0.01596872251513665,HP,7.607772872960373,7.512930499188312,6.8483680555555555,1.2603398541915816,1.2925130923742583,0.8355437081004315
s1208,2,"('s1208', 2)",1,7.691666666666666,1.8605244837112165,10.191,0.505,0.625957142857143,0.04517310214535197,LP,7.457885714285714,7.677338383838383,8.05998,1.8332359644149712,1.7607958432646285,1.9135737612122503
