id,sess,key,block,auc,auc_rh,std_wtw,std_wtw_rh,init_wtw,sell_RT_median,sell_RT_mean,sell_RT_se,condition,auc1,auc2,std_wtw1,std_wtw2
s1118,1,"('s1118', 1)",1,11.600706896551724,11.536819999999999,2.1128752432173377,2.2691252384123723,12.0,0.387,0.44959999999999994,0.0368846132991096,LP,11.6126,11.587964285714285,2.0862128462839067,2.1410003750273714
s1118,1,"('s1118', 1)",2,12.0,12.0,0.0,0.0,12.0,0.413,0.42206060606060597,0.00655221588170434,HP,12.0,12.0,0.0,0.0
s1119,1,"('s1119', 1)",1,10.941268092105263,10.884382809224318,2.0774057494537423,2.0751926044828424,12.0,0.4695,0.5713833333333334,0.03212761957902911,LP,11.608879999999997,10.251771241830063,1.360379721107309,2.389540323329997
s1119,1,"('s1119', 1)",2,10.57110100368767,11.046850825372884,1.8615647996446134,1.7601839638324037,7.758,0.4225,0.4584333333333333,0.017180987015151798,HP,10.384153846153845,10.731259649122807,1.7233840076633598,2.0571850745200213
s1120,1,"('s1120', 1)",1,8.030768299503624,7.519266046966733,2.7293477375361435,2.5892162822982607,12.0,0.5365,0.6317142857142855,0.06188240705731312,LP,10.287416666666667,5.907760204081633,1.2131560395880199,1.9919326218647404
s1120,1,"('s1120', 1)",2,7.236634720267418,6.865570208333334,2.3583687265328486,2.1498044321102308,9.757,0.639,0.9359069767441857,0.12453658745910111,HP,8.270405384615385,6.192224137931035,2.3126308517427816,1.8202945862680227
s1121,1,"('s1121', 1)",1,8.011900563607085,7.568561403508771,2.573588951569811,2.4364309856804884,12.0,0.51,0.525,0.01215894025000637,LP,9.188131578947367,6.843211698704728,1.929096040978406,2.547599439527389
s1121,1,"('s1121', 1)",2,8.599724804031354,8.732650672297298,2.4243677766075917,2.3862680690948457,7.5,0.505,0.5073584905660379,0.015635854733592223,HP,7.677569111595255,9.283431353383458,1.3555588012942532,2.7418653931785557
s1122,1,"('s1122', 1)",1,4.870000122690649,4.887690549841772,2.023054157332794,1.6961589526829268,2.139,0.496,0.6004852941176472,0.04171597453520339,LP,4.842975848108335,4.912766580932785,2.2544176701220673,1.76758005565725
s1122,1,"('s1122', 1)",2,9.063703667980166,9.778687757107361,3.453305689813757,3.464732510289356,2.457,0.511,0.5672857142857143,0.046838259167756115,HP,8.510823963800421,9.972664216216216,3.373268984801567,3.3705732421115604
s1123,1,"('s1123', 1)",1,9.194538298244085,9.494797851037852,2.8156950217899115,2.2576532943011918,1.038,0.862,1.2059830508474574,0.13199584641625509,LP,9.204946579736054,9.374588888888889,3.731782773561895,1.3668570346637856
s1123,1,"('s1123', 1)",2,10.883132603146851,11.39755552900571,2.315405380398645,2.2266705680010217,7.5,0.98,1.2428571428571433,0.13167587715813567,HP,10.491383506343714,11.266268235294117,2.3315987337263566,2.282118956234046
s1124,1,"('s1124', 1)",1,2.9647696539906687,2.814234613931043,0.9413979148129793,0.6163789685249799,7.161,0.411,0.42889873417721514,0.018900049085957348,LP,3.0891987044161744,2.814024,1.2497120460110702,0.3716186316965284
