id,consent_date,age,gender,education,handness,language,race,batch
s1170,2/9/22 12:37,32.0,Male,16.0,Right-handed,English,White,2.0
s1171,2/9/22 14:08,33.0,Male,19.0,Right-handed,English,White,2.0
s1172,2/9/22 12:50,49.0,Male,12.0,Right-handed,English,White,2.0
s1173,2/9/22 12:42,60.0,Female,16.0,Right-handed,English,White,2.0
s1175,2/10/22 09:12,34.0,Female,18.0,Right-handed,English,White,2.0
s1176,2/9/22 13:25,35.0,Male,12.0,Left-handed,English,Black or African American,2.0
s1178,2/9/22 16:23,37.0,Female,16.0,Right-handed,English,White,2.0
s1179,2/9/22 16:24,50.0,Female,12.0,Right-handed,English,White,2.0
s1180,2/9/22 19:15,49.0,Female,16.0,Right-handed,English,White,2.0
s1181,2/9/22 15:07,34.0,Female,14.0,Right-handed,english,Black or African American,2.0
s1182,2/9/22 14:16,63.0,Female,18.0,Left-handed,English,White,2.0
s1183,2/9/22 13:06,31.0,Female,16.0,Right-handed,English,White,2.0
s1184,2/9/22 13:31,39.0,Male,16.0,Right-handed,English,White,2.0
s1185,2/9/22 12:05,33.0,Neither/Do not wish to disclose,15.0,Right-handed,American English,Other,2.0
s1187,2/11/22 12:24,47.0,Female,16.0,Right-handed,English,White,2.0
s1188,2/9/22 12:14,35.0,Male,12.0,Right-handed,English,Black or African American,2.0
s1189,2/9/22 17:17,35.0,Male,12.0,Right-handed,english,White,2.0
s1191,2/9/22 15:17,45.0,Male,16.0,Right-handed,English,White,2.0
s1192,2/9/22 13:01,31.0,Male,12.0,Left-handed,English,Asian,2.0
s1194,2/9/22 14:54,60.0,Female,16.0,Right-handed,English,White,2.0
s1195,2/9/22 17:36,72.0,Male,16.0,Right-handed,English,White,2.0
s1196,2/9/22 12:30,29.0,Male,16.0,Right-handed,English,White,2.0
s1197,2/9/22 12:05,39.0,Female,14.0,Right-handed,English,White,2.0
s1198,2/9/22 19:37,33.0,Male,15.0,Right-handed,English,White,2.0
s1199,2/9/22 16:11,35.0,Female,16.0,Right-handed,English,Black or African American,2.0
s1201,2/9/22 12:04,31.0,Male,16.0,Right-handed,English,White,2.0
s1203,2/9/22 15:43,36.0,Male,12.0,Right-handed,English,White,2.0
s1204,2/9/22 14:01,30.0,Male,16.0,Right-handed,English,White,2.0
s1205,2/9/22 12:13,62.0,Male,14.0,Right-handed,American English,White,2.0
s1206,2/9/22 12:52,63.0,Male,16.0,Right-handed,English,White,2.0
s1207,2/9/22 12:09,60.0,Female,14.0,Right-handed,English,White,2.0
s1208,2/9/22 16:27,32.0,Male,12.0,Right-handed,English,Asian,2.0
