id,duration,NU,PU,PM,PS,SS,UPPS,Attentional,Motor,Nonplanning,attention,cogstable,motor,perseverance,selfcontrol,cogcomplex,BIS,PAS,NAS,GMK
s1220,414,28.0,15.0,13.0,17,2.0,75.0,15.0,16.0,18.0,8,7.0,11.0,5,9.0,9,49.0,19.0,34.0,0.02512806558223707
s1221,3528,1.0,8.0,25.0,14,26.0,74.0,6.0,16.0,7.0,3,3.0,13.0,3,3.0,4,29.0,50.0,10.0,0.00046466016610615096
s1222,544,12.0,3.0,15.0,11,8.0,49.0,11.0,13.0,13.0,5,6.0,9.0,4,6.0,7,37.0,31.0,19.0,0.018375687917671205
s1223,677,20.0,7.0,32.0,20,6.0,85.0,20.0,24.0,27.0,13,7.0,18.0,6,13.0,14,71.0,19.0,12.0,0.01345472877351011
s1224,2696,10.0,8.0,13.0,14,21.0,66.0,12.0,20.0,14.0,5,7.0,13.0,7,9.0,5,46.0,38.0,12.0,0.0008583171571346091
s1225,981,1.0,0.0,12.0,8,14.0,35.0,7.0,16.0,5.0,3,4.0,13.0,3,3.0,2,28.0,47.0,10.0,0.08698025245762944
s1226,369,14.0,3.0,19.0,19,12.0,67.0,19.0,19.0,15.0,11,8.0,12.0,7,7.0,8,53.0,26.0,34.0,0.009900796334857579
s1227,605,28.0,26.0,18.0,29,8.0,109.0,10.0,23.0,24.0,5,5.0,14.0,9,14.0,10,57.0,20.0,21.0,0.03486441659740516
s1228,720,12.0,3.0,20.0,17,6.0,58.0,11.0,20.0,18.0,7,4.0,14.0,6,6.0,12,49.0,32.0,18.0,0.007164229858526266
s1229,1065,16.0,3.0,12.0,30,1.0,62.0,13.0,17.0,17.0,7,6.0,10.0,7,8.0,9,47.0,17.0,25.0,0.00015822798419668516
s1230,344,10.0,0.0,13.0,13,3.0,39.0,11.0,16.0,12.0,7,4.0,9.0,7,6.0,6,39.0,24.0,14.0,0.00534648972902218
s1231,485,7.0,1.0,12.0,9,7.0,36.0,8.0,15.0,8.0,3,5.0,10.0,5,3.0,5,31.0,32.0,10.0,0.0021404253958474664
s1232,2224,10.0,13.0,13.0,20,11.0,67.0,16.0,15.0,13.0,10,6.0,8.0,7,7.0,6,44.0,25.0,18.0,0.02523448665940745
s1233,823,1.0,6.0,20.0,16,15.0,58.0,11.0,13.0,13.0,7,4.0,9.0,4,7.0,6,37.0,21.0,11.0,0.0006309178378349672
s1234,422,27.0,16.0,15.0,10,12.0,80.0,13.0,24.0,13.0,8,5.0,16.0,8,4.0,9,50.0,36.0,14.0,0.001590400027627891
s1235,447,17.0,6.0,12.0,16,3.0,54.0,12.0,22.0,19.0,8,4.0,15.0,7,8.0,11,53.0,19.0,17.0,0.0004639490344221831
s1236,378,8.0,2.0,24.0,11,16.0,61.0,10.0,18.0,13.0,5,5.0,12.0,6,6.0,7,41.0,41.0,11.0,0.0008583171571346091
s1237,611,2.0,0.0,13.0,10,8.0,33.0,7.0,14.0,6.0,3,4.0,11.0,3,3.0,3,27.0,42.0,10.0,0.0021404253958474664
s1238,582,10.0,0.0,12.0,16,4.0,42.0,9.0,18.0,14.0,5,4.0,12.0,6,6.0,8,41.0,29.0,15.0,0.0011671634396006375
s1239,715,14.0,4.0,13.0,15,15.0,61.0,10.0,20.0,15.0,5,5.0,14.0,6,7.0,8,45.0,41.0,13.0,0.034647033812817515
s1240,506,1.0,0.0,14.0,10,14.0,39.0,9.0,17.0,11.0,4,5.0,10.0,7,6.0,5,37.0,15.0,13.0,0.00025117523951375634
s1241,633,2.0,0.0,22.0,11,4.0,39.0,7.0,14.0,9.0,3,4.0,11.0,3,5.0,4,30.0,36.0,10.0,0.0011551583305507605
s1242,473,23.0,1.0,18.0,19,2.0,63.0,19.0,18.0,11.0,11,8.0,11.0,7,5.0,6,48.0,25.0,25.0,0.01345472877351011
s1243,761,15.0,10.0,19.0,16,23.0,83.0,12.0,23.0,11.0,6,6.0,16.0,7,6.0,5,46.0,38.0,14.0,0.00288868994603506
s1244,615,12.0,1.0,11.0,10,7.0,41.0,11.0,16.0,14.0,5,6.0,12.0,4,4.0,10,41.0,36.0,15.0,0.003928030276290973
s1245,476,14.0,2.0,16.0,25,15.0,72.0,12.0,16.0,13.0,6,6.0,10.0,6,8.0,5,41.0,22.0,11.0,0.001570816287617923
s1246,516,13.0,1.0,19.0,17,17.0,67.0,8.0,17.0,22.0,5,3.0,11.0,6,12.0,10,47.0,26.0,13.0,0.00288868994603506
s1247,260,9.0,6.0,12.0,12,4.0,43.0,13.0,12.0,6.0,7,6.0,9.0,3,3.0,3,31.0,21.0,11.0,0.00034170406135018374
s1248,526,3.0,0.0,12.0,8,17.0,40.0,7.0,21.0,14.0,3,4.0,14.0,7,4.0,10,42.0,33.0,10.0,0.04742951257604449
s1249,336,2.0,0.0,13.0,10,10.0,35.0,8.0,16.0,10.0,3,5.0,11.0,5,4.0,6,34.0,32.0,10.0,0.002135990380249449
s1250,415,2.0,0.0,15.0,9,24.0,50.0,10.0,18.0,8.0,3,7.0,13.0,5,4.0,4,36.0,41.0,10.0,0.02523448665940745
s1251,556,19.0,17.0,19.0,23,20.0,98.0,19.0,21.0,21.0,13,6.0,15.0,6,11.0,10,61.0,26.0,14.0,0.0011671634396006375
s1252,700,3.0,2.0,12.0,8,6.0,31.0,7.0,16.0,11.0,3,4.0,13.0,3,6.0,5,34.0,37.0,10.0,0.009741894186056551
s1253,648,13.0,14.0,22.0,21,13.0,83.0,13.0,20.0,21.0,8,5.0,13.0,7,10.0,11,54.0,21.0,18.0,0.00015822798419668516
s1254,566,3.0,1.0,21.0,19,13.0,57.0,11.0,17.0,19.0,6,5.0,10.0,7,11.0,8,47.0,29.0,10.0,0.003928030276290973
s1255,601,9.0,8.0,19.0,14,24.0,74.0,13.0,21.0,16.0,7,6.0,16.0,5,6.0,10,50.0,40.0,12.0,0.04747472235673704
s1256,828,12.0,6.0,16.0,11,23.0,68.0,15.0,14.0,7.0,9,6.0,10.0,4,4.0,3,36.0,28.0,11.0,0.0008583171571346091
