id,sess,key,block,auc,std_wtw,init_wtw,auc1,auc2,auc3,auc4,std_wtw1,std_wtw2,std_wtw3,std_wtw4,sell_RT_median,sell_RT_mean,sell_RT_se,condition
s0066,2,"('s0066', 2)",2,6.593811888472829,2.9785947958333674,,6.345588947368421,7.907234027777776,7.187500487329435,5.171883597883596,2.6307046264379523,7.907234027777776,3.6416774137033805,3.0512429832880086,0.935,1.2157894736842103,0.22939584072566901,HP
s0068,2,"('s0068', 2)",1,4.062105529391243,1.8293941115317236,6.491,5.886423333333333,4.250866666666667,3.091625,3.119529411764706,2.6966509644598466,4.250866666666667,0.32453310212519154,0.3504511575681131,0.769,0.7313833333333334,0.010249311404150975,LP
s0068,2,"('s0068', 2)",2,5.563198133637407,1.4340635411538267,,4.991552810597923,5.663454545454545,5.867962500000001,6.075305555555555,1.0293295483841263,5.663454545454545,1.1213385688960091,0.7581459775679544,0.7055,0.7390357142857145,0.027894593971115815,HP
s0069,2,"('s0069', 2)",1,3.9023116386346732,1.5400361204372988,5.167,4.007644328885401,4.079757894736843,4.084700255102041,3.4949523809523813,1.6812387671280788,4.079757894736843,1.7379090461687106,1.2042807894983,0.8815,0.8830499999999998,0.025897055012748714,LP
s0069,2,"('s0069', 2)",2,7.454700272844176,2.5610952984177016,,7.8573942307692315,7.171288377192983,7.893085972850678,7.791022727272726,3.0494772326841573,7.171288377192983,3.1556659689423396,1.636731700241179,0.91,1.0803170731707321,0.08925358028184845,HP
s0071,2,"('s0071', 2)",1,6.273435294117648,1.035607714135934,4.886,6.21015,5.904,6.789375000000001,6.9718333333333335,1.4899189919254,5.904,1.997352618937127,0.5229045217713161,0.7,0.7601641791044774,0.012299260899521746,LP
s0071,2,"('s0071', 2)",2,9.22769796869797,0.9359550590066039,,8.761666666666667,9.607000000000001,9.455,9.112928571428572,1.1888262184935936,9.607000000000001,0.6090200559681334,1.0839324876370766,0.7244999999999999,0.728108695652174,0.015224104986741413,HP
s0074,2,"('s0074', 2)",1,8.195907204468327,2.050207807394199,4.877,7.407358851674642,9.0186,8.062583333333333,8.4982,2.4548954041645348,9.0186,1.8017719731019113,1.0380054720472338,0.682,0.7672537313432837,0.02910101275421219,LP
s0074,2,"('s0074', 2)",2,8.300619414044686,1.7055826734005382,,9.735624999999999,8.54845714285714,7.7136,7.14682857142857,1.6639190325478581,8.54845714285714,1.2408306250250274,1.5222634929738073,0.688,0.7919999999999999,0.10643125526509778,HP
s0075,2,"('s0075', 2)",1,10.001574472646205,2.9385133481999612,4.977,7.129897959183675,11.415666666666667,10.737,10.742857142857144,3.3387715738338155,11.415666666666667,2.526,2.013898027534195,0.799,0.7971016949152543,0.021433511161221844,LP
s0075,2,"('s0075', 2)",2,8.150074004867106,2.478490602593671,,7.380427564102565,8.923131313131313,8.106399999999999,8.290664335664335,2.063403750374786,8.923131313131313,2.474384389432383,2.810560700956843,0.798,0.778170731707317,0.014724311761771813,HP
s0076,2,"('s0076', 2)",1,8.29649348078486,1.951718052890902,9.856,8.102659999999998,8.994925925925926,7.677165714285715,8.677,1.7838913488214463,8.994925925925926,2.577189333578385,1.3686556908148961,0.8205,0.8239090909090909,0.026105587741480894,LP
s0076,2,"('s0076', 2)",2,8.411129689542483,1.8356430555350949,,8.187111111111113,8.423444444444444,8.006282051282051,9.172333333333334,0.967835109726927,8.423444444444444,2.567699732687205,2.036541076324157,0.835,0.8401999999999998,0.027164784756448873,HP
s0077,2,"('s0077', 2)",1,5.10400925925926,0.6753333058485567,5.599,5.161092307692308,5.276545454545454,4.9931090909090905,4.959522727272727,0.7992158988769875,5.276545454545454,0.5153878447571459,0.654795578393342,0.831,0.8849999999999997,0.0764947737705079,LP
s0077,2,"('s0077', 2)",2,6.530550645994833,1.6327220078533038,,6.567241269841269,7.48132923076923,7.568642857142857,5.032862745098039,1.4882518896433354,7.48132923076923,1.2315743471057603,1.3776404335557328,0.837,0.8287027027027027,0.01715924064790335,HP
s0079,2,"('s0079', 2)",1,4.167099078341015,0.8988421773419047,5.677,3.729,4.347843750000001,4.100266666666666,4.486000000000001,0.9460004789903649,4.347843750000001,0.8416448551629258,0.941641096997978,0.785,0.8301076923076922,0.04368366720130943,LP
s0079,2,"('s0079', 2)",2,6.188761746399086,1.7310139878442583,,5.454625,7.069683035714286,6.819757575757575,5.744829186602871,1.3859805588012413,7.069683035714286,1.8927068403888463,1.7469997609051597,0.845,0.7844285714285713,0.021439931682585553,HP
s0081,2,"('s0081', 2)",1,5.962246558197746,1.4864143466905868,6.632,5.67796923076923,5.652306818181819,5.987375000000001,6.5702727272727275,1.4138300623508824,5.652306818181819,1.601044732159286,1.3021424891245472,0.954,1.1341636363636363,0.07316795470554469,LP
s0081,2,"('s0081', 2)",2,8.003854613547222,2.2822864021160867,,7.303163194444444,10.827272727272728,7.981184615384615,6.5389,2.154762268829935,10.827272727272728,2.374933902836084,0.7395760880396284,0.9884999999999999,1.4436842105263157,0.25434163314483144,HP
s0082,2,"('s0082', 2)",1,2.2596761871761872,0.5861475892046538,4.631,2.6619197324414716,2.226565772669221,2.067628507295174,2.124142857142857,0.8226498746730556,2.226565772669221,0.3240769470432023,0.4641054155412261,0.502,0.6205185185185187,0.020175783415959245,LP
s0082,2,"('s0082', 2)",2,2.711189990028128,1.2121068504402002,,2.8022315270935962,3.2719200000000006,2.382467281105991,2.490089855072464,0.9470665836586623,3.2719200000000006,0.6151553159604156,0.7672935235920839,0.501,0.578625,0.02898893579346265,HP
s0083,2,"('s0083', 2)",1,3.489048167349892,1.1404763350764284,4.034,4.823607843137254,3.2636125,2.7696140350877188,3.0684523809523805,1.1391809420640846,3.2636125,0.5564659966404518,0.5430412245326778,0.835,0.8187187499999996,0.021175068586974773,LP
s0083,2,"('s0083', 2)",2,6.51770959622682,3.490638569089123,,6.235651843512523,7.26026,5.159614583333333,7.6654,3.695391107796407,7.26026,2.0888628254476944,3.667072598136012,0.829,0.8112105263157894,0.029926760967650196,HP
s0084,2,"('s0084', 2)",1,4.165148492962781,0.8813022692871775,2.956,4.462673202614379,4.2910666666666675,3.9757884615384613,3.851742857142857,0.9790197099904956,4.2910666666666675,0.5716186308174648,0.9320503954142378,0.685,0.6983833333333334,0.008867703312416188,LP
s0084,2,"('s0084', 2)",2,4.662246354952236,0.6495932247689734,,4.63178835978836,4.647470588235294,4.259705882352942,5.1469615384615395,0.7290609003905382,4.647470588235294,0.43895621712607424,0.5895575414449011,0.693,0.683304347826087,0.008210702311521594,HP
s0085,2,"('s0085', 2)",1,5.522735991006572,1.9023699564446,4.877,6.0421916666666675,5.585999999999999,4.4680307692307695,6.125333333333334,1.9141110351624215,5.585999999999999,1.429328937903542,2.672590046295084,0.749,0.8733809523809521,0.04183529853922012,LP
